tieu_de,noi_dung,nhan
Livestream bán hàng trăm bộ kích điện bắt cá,"Dù kích điện là công cụ bị cấm do gây tận diệt nguồn lợi thủy sản, Nguyễn Vũ Phương vẫn livestream quảng cáo và bán gần 700 bộ cho khách.",1
Hiệu trưởng bị bắt với cáo buộc nhận hối lộ,"Ông Nguyễn Ngọc Đông, Hiệu trưởng Trường Tiểu học số 2 Quảng Phúc, bị bắt để điều tra hành vi nhận hối lộ.",1
Nhiều người nước ngoài 'phê' ma túy trong khách sạn ở TP HCM,"Cảnh sát kiểm tra nhiều khách sạn, phát hiện hàng chục người Malaysia, Indonesia sử dụng ma túy và nghi liên quan hoạt động lừa đảo công nghệ cao.",1
Lòng tham của gã con rể sống nhờ bố mẹ vợ đại gia,"Từng là cầu thủ bóng chày thành công, Dan Serafini lấy con gái đại gia bất động sản rồi âm mưu giết bố mẹ vợ để chiếm đoạt tiền thừa kế sau nhiều năm sống phụ thuộc.",1
Đề xuất giảm một nửa quy trình trở thành luật sư,"Quy trình trở thành luật sư được đề xuất từ 4 bước rút xuống còn 2, nhằm đơn giản hóa thủ tục hành chính song vẫn đảm bảo chất lượng hành nghề.",1
"Chơi casino hợp pháp ở nước ngoài, thắng tiền có được mang về nước?","Trong chuyến du lịch Singapore, anh Minh được nhóm bạn rủ vào một khu casino để thử vận may. Anh chơi cho biết vài ván nhưng không ngờ thắng lớn.",1
"Hàng loạt người sập bẫy đường dây giả gái xinh, mất 36 tỷ đồng","Nguyễn Đăng Dũng cùng 23 đồng phạm bị cáo buộc lập đường dây lừa đảo, giả gái xinh kết bạn, dụ 63 người làm nhiệm vụ mua hàng để chiếm đoạt hơn 36 tỷ đồng.",1
Bài toán phát triển nhiên liệu hàng không từ dầu thải của Nhật Bản,"Nhật Bản tận dụng từng giọt dầu thừa thải ra trong quá trình nấu nướng của hộ gia đình để sản xuất nhiên liệu hàng không, với mục tiêu đạt 10% nguồn cung vào 2030.",1
Nhiều gia đình 'thắt lưng buộc bụng' nhưng hóa đơn vẫn phình to,"Tiền nhà, thực phẩm, học phí và lãi vay đồng loạt tăng khiến nhiều hộ gia đình phải co kéo chi tiêu, trong khi khoản tiền để dành ngày càng thu hẹp.",1
Giá vàng tuần này dự báo tiếp tục giảm,Phần lớn chuyên gia Phố Wall dự báo vàng thế giới tiếp tục lao dốc sau khi giảm hơn 210 USD trong tuần trước.,1
Hai con ông Nguyễn Đức Thụy gia nhập Sacombank,Con trai và con gái của Phó chủ tịch thường trực Sacombank Nguyễn Đức Thụy lần lượt được bổ nhiệm làm trợ lý cho Hội đồng quản trị và Tổng giám đốc ngân hàng.,1
EVN hết lỗ lũy kế hợp nhất,"Hết năm 2025, Tập đoàn Điện lực Việt Nam (EVN) ghi nhận lợi nhuận lũy kế chưa phân phối hợp nhất 5.533 tỷ đồng, đảo chiều so với mức âm 38.688 tỷ cuối 2024.",1
Bitcoin tăng trở lại sau khi thủng mốc 60.000 USD,Bitcoin đảo chiều tăng 5% nhờ lực cầu giải ngân khi giá xuống sát 59.100 USD - vùng giá thấp nhất một năm rưỡi.,1
Công ty ông Johnathan Hạnh Nguyễn làm chủ tịch tính chia cổ tức kỷ lục,"Sasco, công ty do ông Johnathan Hạnh Nguyễn làm chủ tịch, lên kế hoạch chia cổ tức bằng tiền mặt hơn 46%, tức mỗi cổ phiếu nhận trên 4.600 đồng.",1
Quỹ đầu tư vàng lớn nhất thế giới liên tục xả hàng,"Quỹ đầu tư SPDR Gold Trust bán ròng từ giữa tháng 5 và chỉ còn nắm giữ 1.025 tấn vàng, mức thấp nhất 8 tháng trở lại đây.",1
TCBS có Quyền Tổng giám đốc mới,"Bà Trần Thị Thu Trang, người đã có 12 năm làm việc tại TCBS, được bổ nhiệm làm Quyền Tổng giám đốc công ty.",1
"Sẽ ban hành cơ chế tín dụng, đặt hàng 1.000 doanh nghiệp tiên phong","Bộ Tài chính dự kiến ban hành thông tư về chương trình hỗ trợ 1.000 doanh nghiệp tiên phong - nhóm có khả năng dẫn dắt, lan tỏa công nghệ, chuỗi giá trị.",1
Ông Lê Hồng Minh: 'Cổ phiếu VNG chưa phản ánh đúng giá trị thực',"Ông Lê Hồng Minh cho rằng giá lẫn thanh khoản của VNG chưa phản ánh đúng giá trị do khối lượng lên sàn ít và ban lãnh đạo ""không hứa hẹn hoành tráng"".",1
Nguy cơ giá dầu tăng vọt khi dự trữ toàn cầu bị rút cạn,Giá dầu Brent giao ngay có thể lên 150-160 USD một thùng thời gian tới nếu tồn kho dầu toàn cầu xuống thấp chưa từng thấy.,1
Giá vàng miếng về sát mốc 150 triệu đồng,"Các thương hiệu bán ra vàng miếng quanh mức 150,2 triệu đồng một lượng, giảm gần 41 triệu đồng so với đỉnh hôm 2/3.",1
"Nhập khẩu đá quý, kim loại quý tăng gần 300%","Việt Nam chi gần 1,5 tỷ USD nhập khẩu đá quý, kim loại quý và sản phẩm trong 5 tháng đầu năm, tăng 284% so với cùng kỳ năm ngoái.",1
Giá vàng thế giới xuống thấp nhất 2 tháng,"Mỗi ounce vàng giảm gần 150 USD trong phiên cuối tuần, kéo giá xuống thấp nhất kể từ cuối tháng 3.",1
Lý do thương hiệu phương Tây dễ 'hồi sinh' khi về tay Trung Quốc,"Nhờ làm chủ chuỗi cung ứng và khả năng tiếp thị số mạnh mẽ, doanh nghiệp Trung Quốc dễ hồi sinh các thương hiệu phương Tây sau thâu tóm.",1
'Bao bì cũng cần bền vững khi làm sản phẩm xanh',"Sản phẩm xanh không chỉ nằm ở nguyên liệu hay quy trình sản xuất bền vững mà còn ở vòng đời của bao bì, theo chuyên gia.",1
Được và mất gì khi dồn hết tiền vào gửi tiết kiệm?,"Gửi tiết kiệm giúp ngủ ngon hơn, nhưng liệu có phải là lựa chọn tối ưu cho mọi khoản tiền mà bạn đang có?",1
"Giá phân bón tăng cao, nông dân thêm áp lực chi phí","Tháng 5, giá nhiều loại phân bón tăng thêm khoảng 100.000 đồng mỗi bao 50 kg, đẩy chi phí đầu vào của nông dân lên cao trong vụ hè thu.",1
Đại diện Bộ Công Thương: Không nên vội quy kết sự cố xe do chất lượng xăng E10,"Đại diện Bộ Công Thương cho rằng các thông tin về xe gặp sự cố sau khi đổ xăng E10 cần được xác minh nguyên nhân cụ thể, thay vì vội quy kết cho chất lượng nhiên liệu.",1
Chủ Jackpot hơn 83 tỷ đồng không đeo mặt nạ nhận giải,"Chiều 5/6, anh Bùi Văn Mạnh nhận Jackpot hơn 83 tỷ đồng và cũng là người trúng giải trị giá lớn nhất công khai danh tính trong 10 năm qua.",1
Tiền vào chứng khoán thấp nhất một năm,"Nhà đầu tư sang tay chưa đến 14.000 tỷ đồng trong phiên cuối tuần, giảm hơn 8.000 tỷ đồng so với phiên trước, xuống thấp nhất kể từ tháng 4/2025.",1
VinaCapital: Hơn 70% cổ phiếu Việt có định giá thấp như thời khủng hoảng,"Theo dữ liệu của VinaCapital, hơn 70% cổ phiếu đang giao dịch dưới mức P/E 10 lần, vùng định giá thường chỉ xuất hiện trong các giai đoạn khủng hoảng.",1
Gần 2 triệu người thành triệu phú năm 2025 nhờ chứng khoán,"Nghiên cứu của Capegmini cho thấy thị trường chứng khoán toàn cầu tăng tốc, đặc biệt là cổ phiếu liên quan AI, đã kéo tài sản của giới giàu lên cao.",1
Sàn giao dịch carbon dự kiến được thí điểm trong tháng 6,Bộ Nông nghiệp và Môi trường cho biết việc vận hành thí điểm sàn giao dịch carbon trong nước có thể được triển khai trong tháng 6.,1
Giá vàng tiếp tục lùi về dưới 154 triệu đồng,"Giá vàng trong nước giảm mạnh hơn so với thế giới về 153,8 triệu đồng, mức thấp nhất nửa năm, chênh lệch được thu hẹp xuống dưới 13 triệu đồng một lượng.",1
Xuất khẩu dầu của Iran thấp nhất 6 năm,Chiến dịch phong tỏa của Mỹ phần nào khiến xuất khẩu dầu của Iran trong tháng 5 chỉ bằng 15% so với tháng trước đó.,1
Đề xuất giao địa phương kiểm kê khí nhà kính hàng năm,"UBND cấp tỉnh có thể thực hiện kiểm kê khí nhà kính hàng năm và chủ động quản lý các cơ sở phát thải trên địa bàn, theo dự thảo Luật Bảo vệ môi trường (sửa đổi).",1
Ông Trump công bố gói cứu trợ 700 triệu USD vực dậy ngành than,"Ông Trump công bố gói hỗ trợ 700 triệu USD để cứu ngành than, phần lớn khoản chi viện dẫn quyền hạn khẩn cấp cho Tổng thống thời Chiến tranh lạnh.",1
Đề xuất không bắt buộc công ty chứng khoán ký hợp đồng giấy với nhà đầu tư,"Bộ Tài chính đề xuất mở rộng hình thức giao kết hợp đồng giữa công ty chứng khoán với nhà đầu tư, thay vì phải ký bằng văn bản như quy định hiện hành.",1
Ông Trump lặng lẽ tái khởi động cỗ máy áp thuế,"Tổng thống Mỹ đang tìm cách khôi phục các mức thuế nhập khẩu cũ, nhưng theo cách thận trọng, lâu dài và không ồn ào như trước đây.",1
Đức bối rối xử lý hàng tỷ euro bị 'lãng quên',"Hàng tỷ euro đang nằm trong các tài khoản ngân hàng bị lãng quên, khiến giới chức và tổ chức tài chính tại Đức bối rối tìm hướng xử lý.",1
"Nhà riêng, nhà phố TP HCM giảm giá vì khó bán","Phân khúc nhà riêng, nhà phố tại TP HCM ghi nhận xu hướng giảm giá bán trong bối cảnh thanh khoản thị trường suy yếu, người mua thận trọng.",1
Đại gia chăn nuôi tính xây 3-5 chung cư nuôi heo giảm thải tại Hà Nội,"Mỗi chung cư của BAF dự kiến có khoảng 8.400 heo nái, xuất 250.000 heo thịt một năm, tuần hoàn toàn bộ nước, chất thải cho hoạt động vệ sinh, tưới tiêu.",1
Taxi điện Green SM Limo ra mắt Ấn Độ,"Green SM mở dịch vụ taxi điện dùng xe VinFast Limo Green tại Ấn Độ, thị trường thứ 5 của hãng sau Việt Nam, Lào, Indonesia và Philippines, hôm 5/6.",1
